"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"30",1.79405,1.42505,0.72965,1.74155,1.22435,0.63905,4.0505,3.3683,0.63276,0.64484,0.82076,0.69676,0.12115,0.41815,0.25935,0.16405,2.01997,0.38821,2.38969,1.37101,0.41797,0.61525,0.71339,0.35177,0.431520768666047,0.652849229831628,5.17713410649941e-09,1.01106447322098,1
"31",1.22735,1.11665,1.21625,1.93385,0.86825,0.72935,2.7449,2.6507,0.78556,0.55908,0.77916,0.7706,0.21825,0.37365,0.47065,0.19475,2.73367,0.48883,0.20647,2.67595,0.88183,0.54685,0.64931,0.81653,0.705279968299858,0.409804438058441,0.403742175051239,0.353544103486995,1
"32",1.62485,1.59065,1.17725,0.91535,0.66185,1.71545,2.2301,4.8305,0.59212,0.80428,0.73364,0.76372,0.38395,0.11675,0.35865,0.42235,1.84603,2.96845,0.49351,2.06053,0.97525,0.58807,0.33611,0.74237,0.656383348795346,0.652703129329384,0.978288620116123,0.0106344897883832,1
"33",1.85945,1.10525,0.62735,1.72925,1.11305,0.98165,2.7911,4.9805,0.89788,0.767,0.82404,0.825,0.17105,0.36215,0.15485,0.13305,0.66979,3.70789,2.04649,3.93643,0.45451,0.47233,0.67775,0.80717,0.41652001959425,0.0530536385262912,1.0661742945842e-31,0.777404216043393,1
"34",1.69265,1.07045,1.17425,1.92215,1.05125,0.58655,2.3309,3.7907,0.8862,0.53924,0.79292,0.76148,0.36085,0.32005,0.56795,0.31515,3.72037,2.05351,0.34609,1.73293,0.57727,0.93691,0.07709,0.21227,0.499316441503201,0.0529219522309542,0.662366916284941,1.52537525696879e-35,1
"35",1.80275,0.89615,0.70235,1.72595,1.83365,1.31015,4.2317,2.4821,0.72292,0.62844,0.83396,0.56324,0.51925,0.35365,0.47055,0.29655,1.92871,0.68929,0.19555,1.66273,0.88615,0.33625,0.16943,0.62447,2.67636530041484,0.324881229716593,0.0268699535979423,5.01150136752757,1
"36",1.70975,1.35845,0.98465,0.98795,1.42805,1.03955,2.1869,2.3213,0.83508,0.52708,0.84884,0.59572,0.54965,0.12355,0.21305,0.18365,1.24387,0.11833,3.93487,1.85773,0.43867,0.63847,0.90851,0.72383,0.455735808767421,0.295543672566304,5.71321900469898e-07,0.934634171225285,1
"37",1.57055,0.86075,1.38065,1.01345,0.81035,1.32185,2.8697,3.7145,0.54844,0.77252,0.51348,0.86516,0.38375,0.36755,0.49495,0.36655,1.61515,2.26645,2.90683,2.65489,0.65809,0.67933,0.83471,0.14369,0.0266164419524593,0.233829069145556,2.13231219910935e-38,0.964641156015454,0
"38",0.90485,1.50875,1.38455,1.42865,0.91205,0.79565,4.0343,4.0865,0.69444,0.55308,0.71852,0.83684,0.25945,0.51795,0.11905,0.22155,2.11357,2.17675,3.06205,3.36469,0.35983,0.62245,0.72473,0.49595,0.00573943071339829,0.00506488563701891,0.00320681681772235,1.19262258748911,0
"39",1.56965,0.68735,0.71345,1.50875,1.65425,1.55495,3.6815,2.7095,0.65268,0.51444,0.81708,0.57284,0.46555,0.13335,0.51555,0.47035,0.23221,3.23209,3.57919,1.08397,0.81955,0.44461,0.32027,0.58127,0.594893494601354,0.955995006151176,3.81599963121847e-42,0.856781237396132,0
"40",1.13645,1.33325,0.84365,1.97375,1.21385,1.84895,4.0067,2.6075,0.82164,0.73556,0.75252,0.64596,0.51555,0.40885,0.33335,0.10855,3.89821,1.22983,1.74073,2.46847,0.30061,0.18163,0.69161,0.17177,0.0419187305581771,0.202312235478808,4.11396602783064e-15,1.43649512281602,1
"41",1.60115,1.62455,1.12445,1.90025,1.63355,0.68585,4.3391,2.6873,0.78236,0.6594,0.72332,0.63196,0.39665,0.53785,0.21625,0.44085,3.03397,1.92013,1.98877,3.23209,0.39709,0.32671,0.50819,0.48011,0.156608680058146,0.0456500996084034,0.254058206545287,0.254833286325399,0
"42",0.95555,0.59345,0.81575,1.95965,1.08575,0.52655,4.0895,2.8259,0.60244,0.7074,0.6774,0.62892,0.51685,0.50395,0.43255,0.58235,1.58707,2.09797,3.00589,3.76015,0.72703,0.35425,0.58595,0.61979,0.0004786506936914,0.000173905887735163,1.91274276899373e-220,0.954512423506792,0
"43",1.20785,1.10885,0.71045,1.79795,1.83605,1.57745,2.2901,4.8725,0.79684,0.67676,0.73252,0.78732,0.38045,0.17745,0.37825,0.44995,1.79065,0.30475,3.80617,2.60497,0.76357,0.24031,0.76811,0.06719,NA,NA,NA,NA,0
"44",0.62735,0.51815,1.12205,1.38485,0.58175,1.05425,2.2691,2.8049,0.69356,0.66108,0.80884,0.7106,0.59795,0.25435,0.22385,0.36805,3.43021,0.69319,0.75715,1.98175,0.33337,0.88471,0.54185,0.70475,0.116117087531123,0.887518361552083,1.40093956927177,2.49272593959331e-06,1
"45",1.00685,0.54245,1.88105,1.75505,0.66575,1.49255,3.2645,2.8601,0.59364,0.51476,0.78452,0.7302,0.15105,0.59715,0.38885,0.40045,3.10339,2.66581,1.96225,2.23291,0.82945,0.10099,0.54167,0.68873,0.00294709914606134,0.00222116054719826,1.12202308170547e-320,1.16390530710557,0
"46",0.83165,1.34525,1.91015,0.67715,1.74935,0.56075,2.4431,2.3639,0.7166,0.77924,0.8894,0.7614,0.56505,0.58555,0.43825,0.28385,2.76253,1.92949,1.27117,2.52385,0.23563,0.98335,0.81095,0.06791,1.19910240338176,0.262380429532927,1.06456112780203,4.94065645841247e-324,0
"47",1.14545,1.09565,0.56645,0.53135,1.48235,1.83395,2.6555,2.4269,0.86028,0.889,0.78484,0.76164,0.21295,0.44605,0.16885,0.35795,1.93651,1.25947,3.12757,1.44199,0.73225,0.83521,0.12749,0.48155,0.544324394097048,1.02966053451422,0.148602683733402,1.48218154103204,1
"48",0.98855,0.74315,1.33175,0.85535,1.01105,1.66355,2.1053,4.9673,0.84212,0.86916,0.66004,0.77668,0.47695,0.18615,0.21655,0.14305,2.88733,3.86623,0.89209,1.62295,0.26353,0.94807,0.74633,0.43997,0.0367556587653451,0.131731368138479,0.818923760166828,-5.13999465523811e-198,1
"49",1.97705,0.78635,1.23125,0.72455,0.54875,1.19555,3.7217,4.9007,0.50268,0.65468,0.61212,0.82332,0.32025,0.51625,0.44565,0.15275,3.11665,0.70723,2.48719,3.12679,0.75079,0.91711,0.33791,0.08951,0.0463412220123291,0.707573747819128,3.20114083297257e-17,0.666931365324346,1
"50",0.71645,1.97225,0.50885,1.82735,1.57565,0.62765,2.1365,4.3853,0.69372,0.89036,0.58076,0.65252,0.58315,0.23725,0.27885,0.43255,1.58083,0.24001,3.92629,0.12223,0.72883,0.65863,0.37229,0.17735,0.7722520025663,4.12871632194847,0.00353075992912345,0.832372159689504,1
"51",0.53345,1.81745,0.94205,1.84685,1.02485,0.99845,4.3955,4.9115,0.82876,0.53044,0.62084,0.51876,0.57805,0.42375,0.33415,0.56095,2.11747,0.56137,3.43333,0.47713,0.50671,0.18361,0.26537,0.83759,0.0194120814407051,0.0265709096378881,2.01183568523234e-126,3.10008170096426,0
"52",1.90625,1.84895,0.62135,0.87845,0.83435,1.54865,2.6339,2.3285,0.61876,0.61412,0.88524,0.69244,0.55725,0.23825,0.51825,0.19415,2.22901,0.58789,1.74775,1.23373,0.22537,0.23509,0.81473,0.89483,0.237460900513722,0.284551149158872,0.40756490050627,1.26792012943696,1
"53",0.98255,1.64075,0.60665,1.15895,1.72145,1.35785,3.5393,3.1487,0.55364,0.76748,0.51404,0.75316,0.45995,0.33035,0.24645,0.29955,1.42015,3.46063,2.38345,1.31095,0.77167,0.81577,0.66029,0.10013,1.14789735714759,1.1084076311979,1.96258725885422,0.413073407744951,0
"54",0.80015,1.78085,1.97405,1.44815,0.76115,0.94565,2.7089,2.9321,0.78468,0.75884,0.7406,0.83972,0.32015,0.19465,0.56845,0.45235,1.09489,3.96607,1.55509,1.50673,0.69337,0.79327,0.52709,0.36167,0.876422660527443,0.423729820323514,0.885353127752252,2.8357323380098e-19,1
"55",1.28075,1.11035,1.72265,1.22375,1.64435,1.16015,2.4137,3.9029,0.72988,0.559,0.89348,0.64468,0.27965,0.20985,0.49125,0.27505,1.71889,2.00749,1.55899,1.98019,0.33085,0.84439,0.13865,0.84011,0.488151796340443,0.0586163783313172,1.52618146751483,8.18178506103836e-32,1
