"","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","w11","w22","m1","m2","R1","R2","C1","C2","max.Re.eigen","max.Im.eigen","feas.4sp","steady.4sp","species","mut.suc","p.try","sim.number","sequence"
"11",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.01,1.12,1.2,1.93,0.6,0.6,1,1,1.50738469850665,1.53042768706276,0.731596533544491,0.776041582254005,-0.0349020034798343,0.555840790571849,1,1,1,1,1,1,11
"12",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.02,1.11,1.2,1.93,0.6,0.6,1,1,1.50532195939043,1.53085291665356,0.728527907943463,0.778774368985276,-0.0347534247963654,0.555943155165208,1,1,1,1,1,1,12
"13",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.02,1.11,1.2,1.93,0.6,0.6,1,1,1.50532195939043,1.53085291665356,0.728527907943463,0.778774368985276,-0.0347534247963654,0.555943155165208,1,1,1,0,1,1,13
"14",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.03,1.1,1.2,1.93,0.6,0.6,1,1,1.50332849596947,1.53128802356804,0.725449297556368,0.781507698961092,-0.0346057841417143,0.55603890438806,1,1,1,1,1,1,14
"15",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.03,1.1,1.2,1.93,0.6,0.6,1,1,1.50332849596947,1.53128802356804,0.725449297556368,0.781507698961092,-0.0346057841417143,0.55603890438806,1,1,1,0,1,1,15
"16",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.04,1.09,1.2,1.93,0.6,0.6,1,1,1.50137234987708,1.53171332125439,0.722383353620864,0.78424833687886,-0.0344625173848208,0.556136163988753,1,1,1,1,1,1,16
"17",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.04,1.09,1.2,1.93,0.6,0.6,1,1,1.50137234987708,1.53171332125439,0.722383353620864,0.78424833687886,-0.0344625173848208,0.556136163988753,1,1,1,0,1,1,17
"18",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.04,1.09,1.2,1.93,0.6,0.6,1,1,1.50137234987708,1.53171332125439,0.722383353620864,0.78424833687886,-0.0344625173848208,0.556136163988753,1,1,1,0,1,1,18
"19",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.05,1.08,1.2,1.93,0.6,0.6,1,1,1.49943811010793,1.53223650501299,0.719474057688538,0.786988958682468,-0.0343373386448921,0.55625433993477,1,1,1,1,1,1,19
"20",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.05,1.08,1.2,1.93,0.6,0.6,1,1,1.49943811010793,1.53223650501299,0.719474057688538,0.786988958682468,-0.0343373386448921,0.55625433993477,1,1,1,0,1,1,20
"21",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.05,1.08,1.2,1.93,0.6,0.6,1,1,1.49943811010793,1.53223650501299,0.719474057688538,0.786988958682468,-0.0343373386448921,0.55625433993477,1,1,1,0,1,1,21
"22",1,1,4,4,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,2.05,1.08,1.2,1.93,0.6,0.6,1,1,1.49943811010793,1.53223650501299,0.719474057688538,0.786988958682468,-0.0343373386448921,0.55625433993477,1,1,1,0,1,1,22
