"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"45",1.1675,1.5275,1.0895,0.6305,1.2575,2.123,4.523,0.682,0.8652,0.3685,0.2515,2.9275,2.7559,0.4969,0.2759,0,0,1.16232026756562,1
"46",1.6325,1.0955,1.1345,1.4915,1.4225,2.543,2.801,0.6492,0.6924,0.5125,0.5655,2.0539,1.2817,0.1225,0.1301,0,0,4.28541404831909,1
"47",0.9605,1.6445,0.9845,0.5765,0.6275,4.523,2.813,0.762,0.6164,0.5705,0.2695,2.0071,3.7777,0.4195,0.5639,0,0,0.768595955245296,1
"48",0.6665,1.0445,1.8395,1.0295,0.6875,2.615,3.641,0.5524,0.8068,0.5385,0.5475,0.5641,3.8635,0.8353,0.2633,0,0.618653717304097,0.341010130037656,1
"49",0.5345,0.8555,1.6235,0.6245,1.3895,2.999,2.309,0.6828,0.7684,0.1975,0.3775,3.2785,0.8995,0.6031,0.2165,0.647596719572347,1.02735019954809,1.36853095628241,1
"50",1.5935,1.1225,1.3145,0.8165,0.5075,3.629,4.415,0.6388,0.5492,0.4755,0.4815,0.6187,0.2521,0.8767,0.6935,3.62900000223577,0,0,1
"51",1.9265,1.6805,1.6415,0.9995,1.4975,4.361,4.709,0.866,0.558,0.2915,0.5025,2.9821,0.4471,0.7345,0.6053,0,0,0.309898719005938,1
"52",1.6565,1.1375,1.8455,1.9865,0.7895,2.735,2.765,0.6028,0.7836,0.4865,0.2915,3.6763,0.4783,0.6787,0.3461,1.2429790145471,1.57949591175662,1.81366796102229,1
"53",1.2275,1.4015,0.6455,1.1435,1.5035,2.975,2.273,0.5372,0.8908,0.3395,0.5105,1.8355,2.8963,0.3511,0.6917,0,0,14.9788079166751,1
"54",1.0625,0.5825,1.5005,0.5615,0.6515,4.097,4.211,0.8916,0.7788,0.2115,0.4775,3.8947,1.7497,0.4573,0.7763,4.09700497874134,0,0,1
"55",1.2185,1.7915,0.8225,1.8995,1.1015,3.833,2.027,0.7796,0.7156,0.5265,0.5705,3.1147,3.3799,0.9901,0.8393,1.29497573972137,1.4780993265507,1.60113416821081,1
"56",1.2845,1.1855,0.7835,1.9835,0.6785,2.273,4.973,0.8028,0.5748,0.5915,0.3395,1.3051,3.6529,0.5959,0.3821,2.27300000013691,0,0,1
"57",1.6055,0.7415,1.8845,0.7805,0.6995,2.813,2.051,0.8372,0.678,0.3995,0.5855,3.5593,1.5313,0.7417,0.1355,1.16733978665075,0.494445945157988,0.84158887372884,1
"58",0.6485,1.8545,1.8215,1.9415,1.6505,3.311,4.703,0.8364,0.5556,0.3235,0.3165,0.1585,0.1819,0.1963,0.6233,0,4.70300000000576,0,1
"59",1.1075,0.5135,0.6245,1.8515,1.2485,3.185,4.589,0.7404,0.5636,0.5585,0.4235,3.2863,2.0383,0.9523,0.2687,3.18500000000149,0,0,1
"60",0.5855,1.6355,1.8485,0.8045,1.0985,4.013,2.891,0.5124,0.5148,0.5515,0.3835,3.8479,0.9151,0.8335,0.3155,4.0129999999562,2.89099999999407,3.26710582483733e-11,1
"61",1.0235,1.9085,1.6865,0.9305,1.4525,4.421,3.389,0.6004,0.8876,0.4135,0.4825,2.2567,3.7075,0.8821,0.2363,0,0,0,1
"62",1.5635,0.8465,1.7105,0.7775,0.7055,3.743,3.107,0.6628,0.8028,0.3505,0.1375,3.9805,2.3347,0.4807,0.7241,0,0.279479629143604,0.299671131247747,1
"63",1.5065,1.3805,0.5945,1.6565,0.5405,3.029,3.731,0.7092,0.8996,0.4815,0.4805,0.9853,0.4627,0.1711,0.8771,0,3.73100000002467,1.45426921468551e-12,1
"64",1.5455,1.9655,0.6905,1.7855,0.6185,2.213,3.839,0.65,0.842,0.1315,0.5495,1.8667,0.5641,0.9037,0.1967,2.19773541728348,3.68098936926068,0.10677763456863,1
"65",0.7565,1.0745,0.7985,1.3895,1.2245,4.193,4.283,0.814,0.8812,0.1335,0.5635,0.8137,2.8261,0.2215,0.5999,0,0,0.749178902835005,1
"66",1.5035,0.6035,1.9115,1.5215,1.7645,3.059,3.251,0.5244,0.5964,0.5955,0.1325,2.1163,1.9057,0.2719,0.6179,0,0,2.21898648800342,1
"67",1.6895,1.5635,0.7055,1.7405,0.5015,3.929,4.097,0.8068,0.8796,0.5925,0.1755,3.4969,1.4377,0.6517,0.0707,3.92900000020436,0,2.28266242247988e-15,1
"68",1.8095,0.7955,1.6175,1.3655,1.5065,2.819,2.327,0.8772,0.71,0.1135,0.2635,3.9883,0.5875,0.1009,0.8051,2.81900000133392,0,0,1
"69",1.9835,1.5305,1.8035,1.9265,0.7145,2.879,3.893,0.8692,0.6844,0.2955,0.1425,1.8745,3.3331,0.4861,0.5405,2.87900000000295,3.893,0,1
"70",0.7865,0.5165,1.6085,1.1525,1.3205,4.217,3.023,0.7148,0.8092,0.1695,0.2305,1.3675,2.8729,0.2737,0.5423,0.252526496162963,0.164150128076732,1.32061901200571,1
"71",1.9625,1.0355,1.0715,0.6035,1.4105,3.089,3.467,0.5092,0.8132,0.5355,0.2525,0.9931,3.1147,0.8245,0.4541,1.17515122807758,0.877998074860805,1.18348772865381,1
"72",1.1435,1.2935,1.0655,1.1795,1.2035,4.937,2.069,0.7308,0.658,0.2405,0.3805,3.6841,3.5671,0.2953,0.2075,0,0,0.827576554608086,1
"73",1.6295,1.1945,1.6925,0.9395,0.7475,2.903,4.103,0.526,0.6964,0.4295,0.2735,0.4939,0.5953,0.7597,0.6089,2.90300000102378,4.10300117057302,0,1
"74",1.1765,0.5075,0.7475,0.5165,1.5155,2.921,4.481,0.8964,0.6828,0.1595,0.3705,0.4549,3.6685,0.9595,0.8699,2.83746164661643,0,0.039157192717423,1
"75",1.6745,1.4945,1.3625,1.6985,1.7735,3.665,3.695,0.6164,0.582,0.3825,0.2935,1.8277,1.2739,0.7903,0.6881,0,3.69500000364877,0,1
"76",0.5735,1.2875,1.9985,1.3325,1.0475,3.023,2.537,0.8484,0.8604,0.2085,0.1615,3.3799,3.6607,0.2467,0.4613,0,0,1.91887614903533,1
"77",0.5105,1.8935,1.8065,0.9275,1.1615,4.463,2.243,0.5052,0.8156,0.1755,0.3295,2.2333,1.8745,0.1297,0.8933,0,2.24300002214744,0,1
"78",0.9665,1.1735,0.5825,0.8435,0.7385,4.295,3.041,0.8604,0.6308,0.1445,0.3085,1.7497,1.5079,0.3601,0.5189,0,3.04100001256762,0,1
"79",1.6085,1.2665,0.6335,1.6715,0.9935,4.715,4.025,0.8452,0.5572,0.4475,0.2125,3.5281,2.0305,0.5869,0.6017,0,0,0.597207854173363,1
"80",1.8455,1.2005,1.1855,1.2365,1.7165,2.555,2.429,0.8252,0.7148,0.5135,0.4925,1.6717,0.2209,0.7399,0.8987,0,0,13.0497015782845,1
"81",0.7295,1.6925,0.8195,1.9955,0.8525,4.073,3.653,0.6948,0.6028,0.2395,0.2715,3.1615,2.3737,0.2323,0.0995,0,0,1.6909009009459,1
"82",0.8225,1.4255,1.3385,0.7985,0.8255,4.343,2.003,0.7364,0.6524,0.3525,0.3335,0.8059,2.6467,0.1369,0.1949,0,2.003000000138,0,1
