"","R1_0","R2_0","C1_0","C2_0","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","R1","R2","C1","C2","steady"
"30",0.94325,1.62575,1.09775,1.81325,1.73225,0.64625,3.0635,4.7345,0.5546,0.6294,0.747,0.6706,0.19325,0.55975,0.18925,0.29125,1.97785,2.99965,0.39055,2.35615,0.17785,0.11755,0.60755,0.94865,0.187593880299867,0.0748782511266331,1.11988506507996,0.00010174972839461,1
"31",0.91775,0.71975,0.60875,0.92375,1.80875,1.27175,3.9425,4.3445,0.7126,0.6534,0.8438,0.745,0.58125,0.22125,0.50525,0.18975,1.24075,3.12445,2.87485,3.74065,0.66655,0.86815,0.24755,0.13865,0.906044338835633,0.355908640333678,2.3399438861379,1.79667834891295,0
"32",1.15925,0.81125,1.51775,1.84475,1.92275,1.97975,3.7505,2.8715,0.711,0.8666,0.5898,0.8294,0.13225,0.17525,0.56225,0.10125,0.73375,2.23915,1.58785,0.72205,0.51265,0.26155,0.45545,0.73985,0.489655267191236,0.387832129423764,5.46567628522333e-14,3.95192089263106,1
"33",1.72475,1.05575,0.98225,0.99425,1.68575,1.75925,4.2785,3.2405,0.6362,0.8166,0.5838,0.7674,0.22325,0.52525,0.48775,0.37325,0.63235,0.41785,3.99805,0.83515,0.56215,0.96085,0.47705,0.85685,2.09864600429818,2.09597051559067,3.93158982256168,8.01781550018331e-05,1
"34",1.05725,1.24625,1.67525,1.66475,1.05275,0.70025,4.0325,3.7925,0.5178,0.6426,0.8078,0.5634,0.49425,0.49675,0.47475,0.12225,1.26415,2.85535,1.08865,3.84595,0.76645,0.46585,0.68045,0.78485,0.783457749109371,0.0495639917227059,2.70392769747641e-177,1.22841168178201,0
"35",1.34675,1.11575,1.53425,1.71425,1.44575,1.48175,4.4135,3.3905,0.6506,0.5802,0.6234,0.8498,0.44125,0.50125,0.32375,0.29525,3.70165,0.91705,2.55505,0.97945,0.79255,0.76015,0.89735,0.12065,0.233888729173738,1.98916020086437,1.49718598549212e-08,1.62446668003695,1
"36",1.22225,0.88775,1.91225,0.58625,1.85675,0.83675,4.7555,3.8255,0.661,0.5642,0.8354,0.8326,0.47925,0.44575,0.57325,0.35075,2.53555,3.05815,3.98635,3.53785,0.39025,0.44695,0.64355,0.32495,NA,NA,NA,NA,0
"37",1.84625,0.76925,1.48475,1.92425,1.61975,1.55225,4.9325,4.3085,0.6194,0.527,0.7126,0.8418,0.41725,0.54125,0.33375,0.38725,0.28525,3.92395,0.94435,1.59565,0.56395,0.65125,0.42125,0.64355,1.52653284269142,0.598074928440172,1.68585780058951e-53,2.90157508913299,1
"38",1.09625,1.62725,0.51425,0.51275,1.55975,1.86125,3.8015,3.1865,0.8158,0.6546,0.6646,0.6142,0.30975,0.52025,0.27025,0.23975,3.60025,3.86155,1.55275,3.99025,0.32995,0.44335,0.11525,0.38975,0.000643981582643498,-8.40279431199584e-05,0.113506848829142,0.0092102495505816,0
"39",0.93575,1.61525,1.79675,1.93025,1.07525,0.92225,3.1085,3.7625,0.5742,0.8526,0.665,0.8618,0.51625,0.37525,0.15025,0.53875,1.56445,2.38735,0.64405,0.24235,0.98155,0.79525,0.57245,0.43295,1.84334376700545,1.78835310100174,1.22363176730806,1.75127177051525e-11,1
"40",1.30025,0.99725,0.69275,0.81725,1.15325,1.46225,3.5465,2.6735,0.8582,0.6046,0.8546,0.8966,0.19025,0.29425,0.56975,0.38175,2.09875,3.69385,0.37885,3.88885,0.96445,0.12205,0.62915,0.93425,0.461277766597488,0.00460162001871354,8.01796508760485e-38,3.28953284131514,1
"41",0.72425,0.70325,1.45775,1.46075,0.83525,1.26275,4.8695,2.1725,0.8686,0.8074,0.715,0.5198,0.53225,0.45775,0.39025,0.38525,0.21895,0.20725,3.35845,1.13155,0.79705,0.20395,0.87935,0.60035,0.140136653641294,0.35953090655786,1.46706185650939e-218,1.36471567380797,0
"42",1.67375,0.91475,1.88225,1.93925,1.33175,1.49825,4.9475,2.9495,0.8558,0.7226,0.8366,0.8482,0.34875,0.54225,0.26625,0.55675,1.28365,2.33665,3.97075,2.27035,0.23905,0.24715,0.91355,0.30155,-0.000275515715283975,0.0029000961597453,0.00699442501124401,0.0791038620833267,0
"43",0.90425,1.83875,1.45175,0.83525,1.47875,1.12475,3.7085,2.6465,0.695,0.585,0.705,0.8494,0.29375,0.55075,0.20225,0.54625,2.51995,3.02305,2.89435,2.62135,0.26065,0.68095,0.10715,0.79925,0.28130444726154,0.012854784177496,0.239870242424598,3.53396253603618e-134,0
"44",1.22825,1.58675,0.99575,1.95275,0.96425,1.60625,3.0575,3.8375,0.6614,0.7966,0.8594,0.8346,0.50275,0.44425,0.54375,0.53325,3.75625,2.98015,1.86865,2.92945,0.43795,0.40105,0.11705,0.88475,0.0113155023398415,0.0112775289713693,0.00684489152728066,0.0637382124004715,0
"45",1.77575,1.40975,1.17575,1.52975,1.66775,0.54425,4.0445,2.2235,0.7178,0.7554,0.6338,0.8838,0.41175,0.44875,0.52875,0.12425,0.74545,1.15495,1.53715,2.86315,0.89605,0.27775,0.07475,0.85955,0.708990105399617,0.00281700159332505,2.75830153617528e-295,0.456144767985456,0
"46",1.23275,0.52025,1.39175,1.65875,1.25375,0.59225,2.6435,3.9365,0.5766,0.5822,0.7614,0.5702,0.16025,0.34075,0.36475,0.43575,2.72665,2.71885,3.29605,2.32885,0.94015,0.91945,0.84515,0.60845,0.743939116925335,1.59333614215973,0.758870692902483,2.10081170048885e-06,1
"47",0.60725,0.91175,1.75325,1.65425,1.08425,0.98975,3.7535,2.9105,0.8982,0.7378,0.6906,0.6818,0.34325,0.28475,0.14225,0.19175,1.03795,1.12375,2.13385,3.65095,0.14005,0.45325,0.36725,0.63365,0.195781201988793,0.0956163636831326,1.49637421204705,8.1708094890467e-80,0
"48",1.31225,1.15475,0.89525,0.58925,1.28975,1.98275,4.8815,2.4725,0.7026,0.6702,0.6402,0.5234,0.30725,0.33225,0.33775,0.52775,1.28755,2.68765,0.25405,3.76405,0.41005,0.63235,0.26915,0.34835,0.0455056286302508,0.010265391339437,2.87005391344487,1.19886807656249e-200,0
"49",0.82625,0.86825,1.06175,0.72575,1.90325,1.39625,3.2255,4.2425,0.5134,0.8646,0.7294,0.8154,0.34125,0.31225,0.29425,0.29425,2.97235,2.30155,3.12445,3.68605,0.42535,0.10405,0.37805,0.84875,NA,NA,NA,NA,0
"50",1.44575,1.93625,1.14275,1.24925,1.68125,1.76075,2.9225,4.2365,0.8398,0.7978,0.7362,0.6978,0.15275,0.40375,0.57275,0.29325,2.30545,3.67045,3.35065,1.04965,0.45325,0.77905,0.56705,0.07475,0.363190429891356,0.440098078974364,0.0470322135495182,9.20592748394427e-218,0
"51",1.37525,1.93025,1.29275,1.20425,1.96475,1.79825,2.4905,3.0605,0.8682,0.6654,0.8678,0.545,0.43325,0.42675,0.27375,0.18675,2.11435,1.88035,1.45525,2.03245,0.50185,0.19495,0.88565,0.05945,0.0420494099077114,0.38703323321343,4.32172985449942e-102,2.19464272754335,0
"52",1.95575,1.63475,1.96325,1.64825,0.65975,1.34075,2.4725,3.4505,0.7302,0.6114,0.8618,0.539,0.34775,0.30225,0.18425,0.15175,0.91315,2.89825,1.43965,2.36395,0.88435,0.58735,0.41405,0.31235,0.313711898296668,0.762591315169365,1.27963300655519e-10,0.996121666315267,1
"53",0.98975,1.84925,1.19375,1.33625,1.57325,1.99625,4.1975,3.2525,0.779,0.5922,0.5562,0.841,0.22275,0.23875,0.44725,0.14825,2.94895,2.60575,2.74225,3.45205,0.28585,0.40735,0.29885,0.08015,NA,NA,NA,NA,0
"54",0.79325,0.61325,1.75175,1.43675,1.92125,1.74125,2.5745,3.5795,0.5754,0.6262,0.6574,0.629,0.31775,0.37475,0.29525,0.44425,2.81245,0.26575,3.05815,3.11665,0.58105,0.58195,0.19715,0.42305,1.92131559841591,2.5852579700814,1.81559130964425e-148,1.6788849327415,0
"55",1.45925,0.53975,0.80225,1.76075,1.42175,0.89075,4.7105,4.8725,0.715,0.8714,0.785,0.5502,0.56275,0.27575,0.48675,0.36175,1.19785,2.48095,2.98795,1.86475,0.21475,0.86905,0.36995,0.58055,1.863997401962,0.44424078105015,3.84077320118566,7.96167650110355e-220,0
"56",1.21175,1.08425,0.70025,0.59975,1.99325,0.54575,2.3825,3.1025,0.6106,0.593,0.6822,0.7834,0.47025,0.32875,0.59725,0.48375,3.92395,1.74385,0.39445,3.71335,0.11395,0.24265,0.70655,0.05675,0.0598922197933191,0.0906576178721082,0.88855684568954,1.56673992890875e-91,0
"57",0.89825,1.94075,0.80525,1.07375,1.63625,0.68375,4.7735,2.2775,0.8098,0.6402,0.6054,0.5726,0.20625,0.55225,0.36825,0.37525,3.71335,0.82345,2.90995,3.08155,0.98695,0.11575,0.92795,0.79475,NA,NA,NA,NA,0
"58",0.56375,1.24925,1.49075,1.47875,1.65125,0.84725,2.2295,4.6415,0.7894,0.5166,0.8854,0.777,0.38475,0.25975,0.18175,0.30125,3.40525,1.70485,1.05745,3.42475,0.58555,0.78535,0.16025,0.93245,0.651538320499722,0.173315827884937,1.1512945099504,7.05021257388061e-22,1
"59",0.65225,0.83675,1.96175,1.62875,1.62725,1.24175,4.8545,3.5435,0.659,0.5054,0.5914,0.6558,0.23925,0.41225,0.59375,0.37625,3.49885,2.69155,1.42795,1.35775,0.89335,0.76735,0.55895,0.25745,0.156719186667242,0.219242977883333,1.95126102472754,1.29790923292887e-143,0
"60",1.49225,0.52925,1.66475,0.65375,1.50725,1.43525,3.8285,3.1895,0.7306,0.5766,0.5354,0.723,0.18175,0.29525,0.49575,0.20125,3.31555,1.68925,0.73375,2.13775,0.13915,0.31555,0.85055,0.39425,3.82458473334239e-05,0.000402310325694244,0.950937266333472,7.77176196228851e-34,0
"61",1.40825,0.76325,1.77725,0.94925,0.78575,0.84125,3.5345,4.5185,0.543,0.5598,0.5446,0.8014,0.31675,0.20825,0.49125,0.50925,0.51535,2.94505,0.65965,3.60805,0.74845,0.24355,0.86225,0.16115,2.02949330622693,2.40116108274577,1.09976633013341e-239,1.98732011533267,0
"62",1.53575,1.66775,0.74675,1.10675,1.06475,1.08725,4.4615,2.5475,0.7382,0.8638,0.561,0.6166,0.18875,0.29225,0.53325,0.50625,3.86545,1.15885,0.86635,2.36785,0.99955,0.22105,0.08105,0.90005,2.66577944390595,0.248431535971907,3.03004998942911e-14,1.9951555660608,0
"63",1.24025,0.97925,0.50525,1.35725,1.17875,1.59575,4.8245,2.2595,0.7562,0.5998,0.7134,0.607,0.35025,0.11525,0.58825,0.11925,1.70875,1.63855,0.48025,3.01525,0.47215,0.66295,0.89195,0.77045,0.469070599869449,0.516718776880004,0.849228912700732,0.544705051335385,0
"64",1.70675,1.81775,1.43075,1.84625,1.17125,0.70625,2.1695,4.0655,0.8182,0.8642,0.5682,0.8118,0.27825,0.39625,0.55875,0.25175,3.77965,0.26185,1.19395,1.81015,0.36415,0.19765,0.21425,0.58595,0.3412546424139,0.155776902461609,0.269585897755995,1.05139362641372,1
"65",1.68875,0.60575,1.70225,1.20875,1.70825,1.25975,2.3705,4.0565,0.7118,0.7778,0.8674,0.8542,0.10575,0.51225,0.43875,0.29975,2.26645,0.52315,2.77345,3.91225,0.79165,0.29575,0.25835,0.94145,0.100301647753505,0.00213055703194509,1.82656529430871e-181,0.278733826519218,0
"66",1.82525,1.01675,0.99725,0.89375,1.04825,1.57775,2.4245,4.5035,0.6918,0.6634,0.5554,0.7426,0.48375,0.28425,0.36125,0.27175,0.87025,2.46925,1.31095,0.25795,0.52885,0.29215,0.21515,0.56435,0.78374254937822,0.496503243012366,1.02994761834481,0.860113430580917,1
"67",0.71675,0.64475,0.87575,0.79925,1.01525,1.95725,2.4065,3.7595,0.681,0.6746,0.889,0.7738,0.28275,0.42225,0.25175,0.53725,3.36625,3.79915,2.85145,1.69705,0.61075,0.19045,0.47075,0.27185,0.109678370526142,1.39545744750587,6.06317078447778e-145,3.28527293820059,0
"68",1.02425,1.23875,1.98875,0.67475,1.17575,1.33025,2.9825,4.3325,0.5094,0.7338,0.6026,0.8274,0.18325,0.11375,0.46525,0.45125,3.81085,2.39905,3.03865,2.00515,0.70075,0.50905,0.78035,0.52205,0.169052111014722,0.622356709283267,0.0245195579126345,0.0956223851780162,0
