"","r1","r2","K1","K2","e11","e12","e21","e22","h11","h12","h21","h22","a11","a12","a21","a22","m1","m2","w11","w22","root.time","sim.length","R1","R2","C1","C2"
"29",2.73995695542544,4.85387040674686,3.65416270308197,9.3544145449996,0.720897647831589,0.674678580276668,0,0,0.40066441767849,0.441983580030501,0,0,3.58858713693917,4.3331504445523,0,0,0.416734570194967,0,0.376076076179743,0,NA,2000,NA,NA,NA,NA
"30",4.67243844363838,1.39993008412421,9.89968766085804,8.21403382346034,0.84589960789308,0.754755978193134,0,0,0.189676469331607,0.324180064746179,0,0,1.02037979848683,2.34402639325708,0,0,0.739243374601938,0,0.0672508718213067,0,2000,2000,1.17522127874894,0.0125208930166574,5.55538338248575,0
"31",1.68868472892791,4.58970215171576,6.8578989226371,2.43472607992589,0.773646799381822,0.62601622575894,0,0,0.126639227638952,0.187922206730582,0,0,3.89498513471335,3.10267305374146,0,0,0.209716961509548,0,0.871954084560275,0,NA,2000,NA,NA,NA,NA
"32",1.48004868812859,1.42314409092069,5.79693943820894,3.58187066763639,0.652570980135351,0.898115609120578,0,0,0.30963015279267,0.37461428323295,0,0,4.25703869201243,1.94279007986188,0,0,0.60414235976059,0,0.307191155315377,0,2000,2000,0.0013595369987083,0.00130593978820285,3.38762643781371,0
"33",2.88128838501871,3.95113546773791,4.11714065633714,5.51668438315392,0.78427703268826,0.683443454653025,0,0,0.553107147361152,0.435189436096698,0,0,4.9558330019936,1.94801088050008,0,0,0.341969758505002,0,0.179545170068741,0,NA,2000,NA,NA,NA,NA
"34",2.15725222881883,4.40475492365658,4.51060922816396,3.9918817859143,0.804088322818279,0.753307466860861,0,0,0.492567037371919,0.489872597181238,0,0,2.80854157730937,3.17823436763138,0,0,0.374590927455574,0,0.332745449920185,0,NA,2000,NA,NA,NA,NA
"35",3.18603373039514,3.89201889466494,8.63070517033339,5.95528697408736,0.734075045865029,0.590891498979181,0,0,0.260202630446292,0.430019383109175,0,0,1.80694623105228,2.28700593020767,0,0,0.698531211307272,0,0.901181201520376,0,2000,2000,1.56378546699598,4.30297961449414,8.61318922574384,0
"36",4.74189629871398,2.98035791143775,2.51848822459579,8.65410321950912,0.848924156650901,0.771794151049107,0,0,0.30889078383334,0.581746560544707,0,0,1.88132128305733,1.54845674708486,0,0,0.700383821874857,0,0.465463209943846,0,2000,2000,2.32521946609379,5.28243957328159,2.8090717232473,0
"37",1.79055625386536,4.74696859903634,6.59421453997493,5.67749894596636,0.68378138449043,0.790768800955266,0,0,0.200838306127116,0.314201413327828,0,0,3.00193106476218,3.97156689502299,0,0,0.603929699980654,0,0.875846759206615,0,NA,2000,NA,NA,NA,NA
"38",1.82888742815703,4.13042571023107,3.33955578692257,3.70507805608213,0.688452872727066,0.834772702027112,0,0,0.476964553259313,0.150207240041345,0,0,3.06614463217556,2.10071157757193,0,0,0.337818189081736,0,0.469829877652228,0,569,2000,0.0867296418102633,0.243046041060231,2.63280080859841,0
